kepid,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_srad,Prediction
10797460,9.48803557,2.9575,616.0,2.26,793.0,93.59,0.927,CONFIRMED
10797460,9.48803557,2.9575,616.0,2.26,793.0,93.59,0.927,CONFIRMED
